WONUM,DESCRIPTION,ABCWUA_ADDRESS,PERSONGROUP,ABCWUA_SERVAREA,LOCATION,ASSETNUM,ABCWUA_CALLNUM,ABCWUA_CALLNUM2,WORKTYPE,ABCWUA_SUBWT,ORIGRECORDID,STATUS,STATUSDATE,WOPRIORITY,REPORTDATE,ACTFINISH,ABCWUA_EQNUM,WOEQ1,MAXGISID,MAP_PAGE,PIPE_DIAMETER,PIPE_LENGTH,PIPE_MATERIAL,ABCWUA_MANHOLE_FRM,ABCWUA_MANHOLE_TO,FAILURECODE,PROBLEMCODE,CAUSE,REMEDY,ABCWUA_10CODE,ABCWUA_SPILLAGE,VENDOR,ESTLABHRS,ACTLABHRS,PARENT,RPTDATE_CALPERIOD,RPTDATE_DAYOFWEEK,RPTDATE_HROFDAY,RPTDATE_WEEKOFYEAR,WO_AGING_DAYS,AGING_PERIOD,AGING_PERIOD_COMP
11400673,10-42- TOT 250-258 AS,COPPER & CAMINO DEL NORTE NE,RECCL,AS,RPIPE,313716,258,250,CM,,58530,CLOSE,7/26/13 2:01,5,3/4/13 10:41,3/4/13 9:45,,,RPIPE304991,K-22,8,140,VCP,K22463,K22462,PIPE,OVERFLOW,GREASE,CC,10-42,101-500 GAL,,0,1.5,,201303,MONDAY   ,10,9,144,GT 90 DAYS,GT 90 DAYS
11401197,10-40 BACK UP TOT- 250,6027 ASPEN AVE NE,RECCL,AS,RPIPE,284283,258,250,CM,,58550,CLOSE,7/26/13 2:01,5,3/5/13 6:45,3/4/13 11:30,,Root Saw needed.,RPIPE275558,J-18,8,240,CP,J18361,J18351,PIPE,BACKUP,RTSRCKS,CC,10-40,,,0,2,,201303,TUESDAY  ,6,10,143,GT 90 DAYS,GT 90 DAYS
11401459,10-43 from Reccl patch TOT 210,EDITH & RANKIN NE,RECCL,AS,RPIPE,588007,212,210,CM,,58573,CLOSE,7/26/13 2:01,5,3/5/13 15:10,3/4/13 17:40,,,RPIPE764408,G-15,8,41.26,PVC,G15533,G15532,PIPE,BACKUP,UNKNOWN,CC,10-40,,,0,2,,201303,TUESDAY  ,15,10,142,GT 90 DAYS,GT 90 DAYS
11401943,10-42 MANHOLE OVERFLOW TOT 250/258 AS-tot Risk mgr,4512 PONDEROSA AVE NE,RECCL,AS,RPIPE,270560,258,250,CM,,58646,CLOSE,7/2/13 2:01,5,3/6/13 16:52,3/6/13 11:30,,,RPIPE261835,G-17,8,356,CP,G17462,G17452,PIPE,OVERFLOW,RTSGRS,CC,10-42,51-100 GAL,,0,2,,201303,WEDNESDAY,16,10,117,GT 90 DAYS,GT 90 DAYS
11401958,10-40 TOT UNIT 210/212,120 candelaria nw,RECCL,AS,RPIPE,267059,212,210,CM,,58666,CLOSE,7/26/13 2:01,4,3/6/13 22:05,3/6/13 19:15,,,RPIPE258334,G-14,8,309,CP,G14891,G14881,PIPE,BACKUP,RGSGRS,CC,10-40,,,0,0.8333333333,,201303,WEDNESDAY,22,10,141,GT 90 DAYS,GT 90 DAYS
11403138,10-40 TOT 260-261 AS,1215 CERRILLOS RD SW,RECCL,AS,RPIPE,294293,261,260,CM,,58705,CLOSE,7/4/13 2:00,5,3/7/13 12:45,3/7/13 15:10,,,RPIPE285568,M-08,8,461,VCP,M08472,M08383,PIPE,BACKUP,DEBRIS,CC,10-40,,,0,3.8333333333,,201303,THURSDAY ,12,10,119,GT 90 DAYS,GT 90 DAYS
11402690,10-40 TOT 250-252 as,2005 JUNE ST NE,RECCL,AS,RPIPE,273555,252,250,CM,,58693,CLOSE,8/27/13 2:00,4,3/7/13 15:42,3/7/13 11:30,,,RPIPE264830,H-21,8,300,CP,H21762,H21761,PIPE,BACKUP,ROOTS,CC,10-40,,,0,1,,201303,THURSDAY ,15,10,172,GT 90 DAYS,GT 90 DAYS
11403515,262 (1042)  MO88444-355 (AS),1300 DEL MONTE TRL SW,RECCL,AS,RPIPE,289891,262,230,CM,,58766,CLOSE,12/16/13 2:00,5,3/9/13 14:07,3/9/13 17:30,,Root Saw needed.,RPIPE281166,M-08,8,410,VCP,M08444,M08355,PIPE,OVERFLOW,RGSRTSGR,CC,10-42,1-50 GAL,,0,5.5,,201303,SATURDAY ,14,10,281,GT 90 DAYS,GT 90 DAYS
11403544,10-40 262 M08-444 - 355 On Stand-by (AS),1221 Del Monte Trail SW,RECCL,AS,RPIPE,289891,262,230,CM,,58767,CLOSE,6/18/13 2:00,5,3/9/13 18:00,3/9/13 17:30,,Root Saw needed.,RPIPE281166,M-08,8,410,VCP,M08444,M08355,PIPE,BACKUP,UNKNOWN,CC,10-40,,,0,5.5,,201303,SATURDAY ,18,10,100,GT 90 DAYS,GT 90 DAYS
11404755,10-42 TOT UNIT 250-255 AS,MORRIS & MONTGOMERY BLVD NE,RECCL,AS,RPIPE,279551,255,250,CM,,58827,CLOSE,7/26/13 2:00,5,3/12/13 10:57,3/12/13 9:00,,,RPIPE270826,G-21,8,210,PVC,F21942,G21046,PIPE,OVERFLOW,GREASE,CC,10-42,501-1000 GAL,,0,2.8333333333,,201303,TUESDAY  ,10,11,136,GT 90 DAYS,GT 90 DAYS
11408576,10-40 Back-up TOT 261 - AS,1417 Bellrose Avenue NW,RECCL,AS,RPIPE,302913,261,260,CM,,58915,CLOSE,6/24/13 2:00,4,3/14/13 11:10,3/14/13 12:35,,,RPIPE294188,F-14,8,425,CP,F14901,F14911,PIPE,BACKUP,RAGS,CC,10-40,,,0,1.1666666667,,201303,THURSDAY ,11,11,102,GT 90 DAYS,GT 90 DAYS
11408381,10-40 TOT 210 as,8307 CENTRAL AVE NE,RECCL,AS,RPIPE,282692,211,210,CM,,58969,CLOSE,7/26/13 2:00,4,3/18/13 20:38,3/15/13 16:40,,,RPIPE273967,K-19,8,537,CP,K19875,K19772,PIPE,BACKUP,GREASE,CC,10-40,,,0,1.8333333333,,201303,MONDAY   ,20,11,129,GT 90 DAYS,GT 90 DAYS
11408382,10-40 INSIDE TOT 210-211 AS,1305 SILVER AVE SW,RECCL,AS,RPIPE,286197,211,210,CM,,58971,CLOSE,7/26/13 2:02,5,3/18/13 21:11,3/15/13 18:25,,,RPIPE277472,K-13,8,360,VCP,K13371,K13376,PIPE,BACKUP,GREASE,CC,10-40,,,0,1.8333333333,,201303,MONDAY   ,21,11,129,GT 90 DAYS,GT 90 DAYS
11408598,10-40 TOT 260-267 as,2830 JEFFERSON ST NE,RECCL,AS,RPIPE,270708,264,260,CM,,58957,CLOSE,7/25/13 2:00,4,3/19/13 6:45,3/15/13 13:15,,,RPIPE261983,H-17,8,385,CP,H17164,H17163,PIPE,SEWER,RAGS,CC,10-40,,,0,2,,201303,TUESDAY  ,6,12,128,GT 90 DAYS,GT 90 DAYS
11409171,10-42/tot 250/258 TOT 210 to re-investigate,3600 CENTRAL AVE SE,RECCL,AS,RPIPE,286625,211,210,CM,,59083,CLOSE,7/25/13 2:00,5,3/19/13 14:29,3/20/13 0:30,,,RPIPE277900,K-16,8,190,VCP,K16591,K16583,PIPE,OVERFLOW,RGSGRS,CC,10-42,101-500 GAL,,0,8,,201303,TUESDAY  ,14,12,127,GT 90 DAYS,GT 90 DAYS
11409198,10-40 BACK UP TOT 260,5512 5TH ST NW,RECCL,AS,RPIPE,265975,212,210,CM,,59078,CLOSE,8/27/13 2:00,4,3/20/13 6:46,3/20/13 5:45,,,RPIPE257250,F-14,8,140,PVC,F14478,F14479,PIPE,BACKUP,RGSGRS,CC,10-40,,,0,21.1666666667,,201303,WEDNESDAY,6,12,160,GT 90 DAYS,GT 90 DAYS
11411817,10-42,4200 Edith Blvd NE,RECCL,AS,RPIPE,588028,213,260,CM,,59225,CLOSE,7/26/13 2:02,5,3/23/13 16:42,3/23/13 15:50,,,RPIPE764429,G-15,8,312,PVC,G15431,G15533,PIPE,OVERFLOW,UNKNOWN,CC,10-42,1-50 GAL,,0,3,,201303,SATURDAY ,16,12,124,GT 90 DAYS,GT 90 DAYS
11416272,10-40/tot 210 & TOT 260/261 to re-investigate AS-to be televised,1506 3RD ST NW,RECCL,AS,RPIPE,287107,261,260,CM,,59318,CLOSE,8/27/13 2:00,5,3/27/13 12:00,3/27/13 14:15,,,RPIPE278382,J-14,15,379.22000122,VCP,J14151,J14257,PIPE,BACKUP,UNKNOWN,CC,10-40,,,0,2.5,,201303,WEDNESDAY,12,13,153,GT 90 DAYS,GT 90 DAYS
11422573,10-40 TOT UNIT 210-211,7711 MORROW AVE NE,RECCL,AS,RPIPE,283440,211,210,CM,,59823,CLOSE,7/25/13 2:00,4,4/10/13 0:07,4/9/13 21:25,,Root Saw needed.,RPIPE274715,H-19,8,576,CP,H19961,H19952,PIPE,BACKUP,RTSDBRS,CC,10-40,,,0,2.3333333333,,201304,WEDNESDAY,0,15,106,GT 90 DAYS,GT 90 DAYS
11422829,10-40 TOT 211,201 MARQUETTE AVE NW,RECCL,AS,RPIPE,282906,211,211,CM,,59844,CLOSE,7/26/13 2:02,5,4/10/13 23:17,4/10/13 22:35,,,RPIPE274181,K-14,12,153,VCP,K14046,K14045,PIPE,BACKUP,GREASE,CC,10-40,,,0,5.1666666667,,201304,WEDNESDAY,23,15,106,GT 90 DAYS,GT 90 DAYS
11423333,10-42 MANHOLE OVERFLOW TOT-255 as,ACOMA & CONCHAS SE,RECCL,AS,RPIPE,317996,255,250,CM,,59886,CLOSE,7/26/13 2:01,5,4/11/13 17:24,4/11/13 16:30,,SLIPLINED - P/E LINER,RPIPE309271,L-20,8,303,CP,L20085,L20073,PIPE,OVERFLOW,GREASE,CC,10-42,501-1000 GAL,,0,2,,201304,THURSDAY ,17,15,105,GT 90 DAYS,GT 90 DAYS
11426225,10-42 west of intersection TOT 210,3520 MONTGOMERY NE,RECCL,AS,RPIPE,269743,212,210,CM,,60036,CLOSE,7/26/13 2:01,5,4/17/13 19:20,4/17/13 16:38,,,RPIPE261018,F-16,12,410,VCP,G16092,G16082,PIPE,OVERFLOW,RAGS,CC,10-42,1-50 GAL,,0,0.4666666667,,201304,WEDNESDAY,19,16,99,GT 90 DAYS,GT 90 DAYS
11428877,10-40 TOT UNIT 211,4705 BROOKWOOD ST NE,RECCL,AS,RPIPE,274656,211,211,CM,,60203,CLOSE,8/8/13 2:06,5,4/22/13 22:36,4/22/13 18:40,,,RPIPE265931,F-18,8,149,VCP,F18370,F18369,PIPE,PROPDAM,ROOTS,CC,10-48,,,0,1,,201304,MONDAY   ,22,16,107,GT 90 DAYS,GT 90 DAYS
11429105,10-40--SEE NOTES TOT 260/264 AS,200 3RD ST NW,RECCL,AS,RPIPE,282906,264,260,CM,,60025,CLOSE,7/26/13 2:01,5,4/23/13 6:50,4/17/13 13:56,,,RPIPE274181,K-14,12,153,VCP,K14046,K14045,PIPE,BACKUP,GREASE,CC,10-40,,,0,4,,201304,TUESDAY  ,6,17,94,GT 90 DAYS,GT 90 DAYS
11433290,10-40 inside tot 260-262 AS,287 LA PLATA RD NW,RECCL,AS,RPIPE,266377,262,260,CM,,60273,CLOSE,8/27/13 2:00,5,4/25/13 8:23,4/30/13 10:40,,,RPIPE257652,F-15,8,478,CP,F15121,F15111,PIPE,BACKUP,UNKNOWN,CC,10-40,,,0,3.3333333333,,201304,THURSDAY ,8,17,124,GT 90 DAYS,GT 90 DAYS
11431431,PM Vactor Crew / Cause SSO 1-50 gal.,2811 RIDGECREST DR SE,RECCL,AS,RPIPE,621924,263,260,CM,,60338,CLOSE,8/27/13 2:00,5,4/26/13 14:49,4/26/13 12:00,,,RPIPE817792,,10,345,CP,M18371,M18264,PIPE,OVERFLOW,ROOTS,CC,10-42,1-50 GAL,,0,7,,201304,FRIDAY   ,14,17,122,GT 90 DAYS,GT 90 DAYS
11434233,1040 INSIDE TOT 210// AS-R Mgmt notified,6501 PINO AVE NE,RECCL,AS,RPIPE,265033,212,210,CM,,60552,CLOSE,8/27/13 2:00,5,5/2/13 22:02,5/2/13 19:20,,,RPIPE256308,D-18,8,369,VCP,D18352,D18342,PIPE,OVERFLOW,RAGS,CC,10-42,"8,000",,0,6,,201305,THURSDAY ,22,18,116,GT 90 DAYS,GT 90 DAYS
11435412,10-40-tri-plex/tot 250/221,5330 HERITAGE WY NE,RECCL,AS,RPIPE,276406,221,250,CM,,60626,CLOSE,8/27/13 2:00,4,5/6/13 7:56,5/5/13 22:15,,,RPIPE267681,F-19,8,339,VCP,F19291,F19285,PIPE,BACKUP,ROOTS,CC,10-40,,,0,7.75,,201305,MONDAY   ,7,18,113,GT 90 DAYS,GT 90 DAYS
11436316,10-42 TOT 250,175 Monte Largo Pl NE,RECCL,AS,RPIPE,316627,255,250,CM,,60711,CLOSE,8/27/13 2:00,5,5/7/13 18:17,5/7/13 19:00,,,RPIPE307902,L-23,8,230,CP,L23115,L23113,PIPE,OVERFLOW,RAGS,CC,10-42,"3,750",,0,12,,201305,TUESDAY  ,18,19,111,GT 90 DAYS,GT 90 DAYS
11439646,10-40 tot 260 as,1702 PARK AVE SW,RECCL,AS,RPIPE,283468,211,260,CM,,60844,CLOSE,8/27/13 2:00,4,5/13/13 22:48,5/11/13 19:00,,Root Saw needed.,RPIPE274743,K-13,8,430,VCP,K13141,K13243,PIPE,BACKUP,RTSGRS,CC,10-40,,,0,4.5,,201305,MONDAY   ,22,19,105,GT 90 DAYS,GT 90 DAYS
11439833,1048 tot 264 cs,3813 GLEN CANYON RD NE,RECCL,AS,RPIPE,276723,264,260,CM,,60809,CLOSE,8/27/13 2:00,5,5/14/13 6:19,5/10/13 15:30,,Root Saw needed.,RPIPE267998,G-22,8,159,VCP,G22281,G22282,PIPE,PROPDAM,ROOTS,CC,10-48,,,0,2,,201305,TUESDAY  ,6,20,105,GT 90 DAYS,GT 90 DAYS
11439834,10-40 TOT 264 AS,2829 SAN MATEO BLVD NE,RECCL,AS,RPIPE,269626,264,260,CM,,60579,CLOSE,8/27/13 2:00,4,5/14/13 6:32,5/3/13 11:45,,,RPIPE260901,H-17,8,321,CP,H17193,H17092,PIPE,BACKUP,RAGS,CC,10-40,,,0,2,,201305,TUESDAY  ,6,20,105,GT 90 DAYS,GT 90 DAYS
